id,name,area,employer,salary_from,salary_to,salary_currency,published_at,experience,employment,schedule,key_skills,specialization,professional_roles
126266590,"Human Resources Business Partner, Almaty factory",Алматы,JTI Kazakhstan,,,,2025-10-07,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
126282155,Ведущий специалист по методологии,Алматы,KAZ Minerals Management,,,,2025-10-08,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
126058897,Разработчик чат-ботов (методолог),Алматы,Интернет-коммуникации,250000,300000,KZT,2025-10-02,Нет опыта,Полная занятость,Удаленная работа,,,Методолог
126268215,SAP Project Manager,Алматы,Terralink Technologies LLC,,,,2025-10-07,От 1 года до 3 лет,Полная занятость,Удаленная работа,,,Методолог
126288271,Ведущий менеджер Группы анализа и методологии,Алматы,Jusan Mobile,,,,2025-10-08,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125821673,Методолог отдела методологии Департамента карточного процессинга,Алматы,НПК НБ РК,,,,2025-09-26,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
126093882,PHP-разработчик (CRM Битрикс24),Алматы,Halyk Finservice,,,,2025-10-03,Более 6 лет,Полная занятость,Полный день,,,Методолог
125957613,Эксперт Направления по автоматизации процессов,Алматы,Дочерняя компания АО Банк ЦентрКредит ТОО BCC Leasing,,,,2025-10-06,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125731762,Specialist Customer Service,Алматы,adidas Kazakhstan,,,,2025-09-24,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
126285515,Head of Terminal Automated Systems,Алматы,"Международный Аэропорт Алматы, АО",,,,2025-10-08,Более 6 лет,Полная занятость,Полный день,,,Методолог
123057285,"Разработчик РНР Битрикс 24 (коробочная версия, API, Webhooks, чат-боты)",Алматы,Sattar Consulting,500000,700000,KZT,2025-10-06,Более 6 лет,Полная занятость,Полный день,,,Методолог
125621253,Консультант 1C,Алматы,IT DOC,150000,400000,KZT,2025-09-22,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
126091476,Менеджер-методолог по совершенствованию внедрения и работе в информационной системе,Алматы,КазНМУ им. С.Д. Асфендиярова,307625,,KZT,2025-10-06,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
126108999,Методолог в Департамент разработки банковских процессов,Алматы,АО «Freedom Bank Kazakhstan»,,,,2025-10-03,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
125036053,Главный специалист (HR-методолог),Алматы,Кадровое агентство Мурзабулатова,,,,2025-09-08,Нет опыта,Полная занятость,Полный день,,,Методолог
125103328,Интегратор AMO CRM и Битрикс24,Алматы,SEQE travel,200000,500000,KZT,2025-09-09,От 1 года до 3 лет,Частичная занятость,Удаленная работа,,,Методолог
125607343,Главный специалист отчетности и методологии,Алматы,Home Credit Bank,,,,2025-09-22,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
123726186,Начальник Управления методологии и процессов информационной безопасности,Алматы,АО «Freedom Bank Kazakhstan»,,,,2025-09-25,Более 6 лет,Полная занятость,Полный день,,,Методолог
125077488,Начальник управления учёта банковских операций,Алматы,Home Credit Bank,,,,2025-09-09,Более 6 лет,Полная занятость,Полный день,,,Методолог
